Company,Market cap,Revenue,Sector
GRANDI VIAGGI,45.46143631,39894.88679,Leisure & Recreation
IMMOBILIARE GRDE. DTBZ. SO.DI INVM.IMMB.,378.5916667,151988.4798,Commercial REITs
IL SOLE 24 ORE,28.49720867,207542.8119,Consumer Publishing
ILLIMITY BANK,742.3890244,271345.6545,Banks
IMMSI,157.350271,1917449.735,Auto & Truck Manufacturers
INDUSTRIE DE NORA,774.6369189,734124.6027,Industrial Machinery & Equipment
INTERCOS,1283.589483,754502.6468,Personal Products
INTERPUMP GROUP,5125.552886,1840654.885,Industrial Machinery & Equipment
INTESA SANPAOLO,42671.48264,27859706.33,Banks
INFRASTRUTTURE WIRELESS ITALIANE SPA NPV,9711.104363,819005.3935,Integrated Telecommunications Services
IREN,2738.520813,6245938.774,Multiline Utilities
IT WAY,15.2401626,45172.58349,IT Services & Consulting
ITALGAS,4446.055556,2140506.647,Natural Gas Utilities
ITALIAN DESIGN BRAND SPA,286.9165152,171774.4165,Home Furnishings
ITALIAN EXHIBITION GROUP,79.3901897,113523.0653,Business Support Services
ITALMOBILIARE,1178.084702,487967.309,Food Processing
IVECO GROUP,1939.444172,13502362.76,Heavy Machinery & Vehicles
JUVENTUS FOOTBALL CLUB,885.3486585,451639.0276,Leisure & Recreation
INTEK GROUP,198.5865989,704922.0058,Specialty Mining & Metals
LANDI RENZO,109.803252,276014.595,"Auto, Truck & Motorcycle Parts"
LEONARDO,5011.515474,14423445.3,Aerospace & Defense
LUVE,494.9104336,554018.7025,Electrical Components & Equipment
MAIRE TECNIMONT,1066.877453,3133140.593,Construction & Engineering
MARR,1031.420081,1649364.823,Food Retail & Distribution
MEDIOBANCA BC.FIN,8402.450515,3366368.304,Banks
MFE B,1585.734675,2857858.541,Broadcasting
MONCLER,14840.84598,2323962.155,Apparel & Accessories
ARNOLDO MONDADORI EDI.,485.3610298,855082.1977,Consumer Publishing
MONDO TV,41.01264228,33128.84837,Entertainment Production
MONRIF,14.69417344,141298.6967,Consumer Publishing
GRUPPO MUTUIONLINE,1339.458808,319480.2035,Consumer Lending
NEODECORTECH,50.38195122,186432.263,Paper Products
NETWEEK,6.840257453,23769.13052,Consumer Publishing
NEWLAT FOOD,259.1156775,648300.7351,Food Processing
NEXI,11965.40369,4229790.848,Business Support Services
OLIDATA,16.70299458,25149.18234,Investment Holding Companies
OPENJOBMETIS SPA AGENZIA PER IL LAVO,129.2097967,744535.334,Employment Services
ORSERO,210.7646206,1132908.591,Food Retail & Distribution
OVS SPA,567.7761111,1419643.215,Apparel & Accessories
PHARMANUTRA,559.6159621,75404.97889,Pharmaceuticals
PIAGGIO,1083.911938,1877664.125,Auto & Truck Manufacturers
PIERREL,51.60825203,23723.2476,Pharmaceuticals
PININFARINA,68.8254607,69234.77735,Auto & Truck Manufacturers
PIQUADRO,95.57107046,157152.6331,Apparel & Accessories
PIRELLI & C,4730.291274,5972355.988,Tires & Rubber Products
PLC,45.26627371,67761.14779,Renewable Energy Equipment & Services
POSTE ITALIANE,13149.46037,28584679.46,"Courier, Postal, Air Freight & Land-based Logistics"
PRYSMIAN,8663.881775,14398303.26,Electrical Components & Equipment
RAI WAY,1408.444214,237676.6161,Integrated Telecommunications Services
RIZZOLI CRER.DLSM.GP.,374.2071138,845601.1516,Consumer Publishing
RECORDATI INDUA.CHIMICA,9417.612737,1716428.28,Pharmaceuticals
REPLY,4648.125095,1687067.607,IT Services & Consulting
RESTART,10.66520325,585.5873321,Diversified REITs
