NAME,TRBC INDUSTRY NAME
SABAF,"Appliances, Tools & Housewares"
SAES GETTERS,Commodity Chemicals
SAFILO GROUP,Apparel & Accessories
SAIPEM,Oil Related Services and Equipment
SALCEF GROUP,Construction & Engineering
SALVATORE FERRAGAMO,Apparel & Accessories
SANLORENZO,Recreational Products
SARAS,Oil & Gas Refining and Marketing
SECO,Semiconductors
SERI INDUSTRIAL,Electrical Components & Equipment
SERVIZI ITALIA,Business Support Services
SESA,Integrated Hardware & Software
SIT,Industrial Machinery & Equipment
SNAM,Oil & Gas Transportation Services
SOFTLAB,IT Services & Consulting
SOGEFI,Industrial Machinery & Equipment
SOL,Commodity Chemicals
SOMEC,Construction Supplies & Fixtures
STELLANTIS,Auto & Truck Manufacturers
STMICROELECTRONICS,Semiconductors
TAMBURI INV.PARTNERS,Investment Management & Fund Operators
TECHNOGYM,Recreational Products
TECHNOPROBE SPA,Semiconductors
TELECOM ITALIA,Integrated Telecommunications Services
TENARIS,Oil Related Services and Equipment
TERNA RETE ELETTRICA NAZ,Electric Utilities
TESMEC,Heavy Machinery & Vehicles
TESSELLIS,Integrated Telecommunications Services
ITALIAN SEA GROUP,Recreational Products
TINEXTA,IT Services & Consulting
TOD'S,Footwear
TREVI FIN INDUSTRIALE,Construction & Engineering
TRIBOO,Advertising & Marketing
TXT E-SOLUTION,Software
UNICREDIT,Banks
UNIDATA,Integrated Telecommunications Services
UNIEURO,Computer & Electronics Retailers
VALSOIA,Food Processing
WEBUILD,Construction & Engineering
WIIT,IT Services & Consulting
ZIGNAGO VETRO,Non-Paper Containers & Packaging
VINCENZO ZUCCHI,Apparel & Accessories
